采购项目名称	预算金额	行政区域	网址
黄骅港引航站引航艇及趸船劳务服务采购项目招标公告	￥402.439814万元（人民币）	黄骅市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181112_11085958.htm
阳江市海陵岛经济开发试验区闸坡渔港管护中心广东省闸坡现代渔港建设项目26.8米港务工作艇公开招标公告	￥788.754900万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181019_10922112.htm
中国人民解放军海军大连舰艇学院6.5米工作艇维修公开招标公告	￥19.000000万元（人民币）	辽宁省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181227_11429870.htm
正大鹏安建设项目管理有限公司关于柳州市渔政监督管理站渔政办公趸船采购（LZG18-959）的公开招标公告	￥480.000000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181207_11296960.htm
广东汕尾红海湾经济开发区交通运输局综合行政执法局交通综合行政执法艇项目公开招标公告	￥200.000000万元（人民币）	汕尾市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181030_10997674.htm
国家海洋局南海分局向阳红14船特检及维修工程招标公告	￥989.992600万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181116_11128967.htm
太平湖湖面垃圾清理工程采购项目公开招标公告	￥325.000000万元（人民币）	黄山区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180930_10811557.htm
广西城建咨询有限公司关于广西民族大学深度学习服务器及广西船联网技术协同创新中心软件及专用设备开发工具采购公开招标公告	￥224.963800万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181126_11196161.htm
长江镇江航道处2019-2020年综合服务类（物业、厨师、驾驶）采购项目公开招标公告	￥280.000000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181112_11084247.htm
长江航运公安局15米级新型高性能巡逻船建造项目监理磋商公告（二次）	￥10.000000万元（人民币）	江岸区	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201810/t20181018_10919390.htm
中港客运联营有限公司中山港中深航线船舶燃油采购项目公开招标公告	￥1920.000000万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181227_11429351.htm
